0.0006,-1,-1,-1,0.0006,0.0006,-1,-1,-1,-1
0.0004,-1,-1,0.0004,-1,-1,-1,-1,0.0002,0.0006
0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0004,-1,-1,0.0004,-1,-1,-1,-1,0.0008,-1
0.0004,-1,-1,-1,-1,-1,-1,-1,0.0004,-1
0.0004,0.0008,0.0004,-1,-1,-1,0.0005,0.0004,-1,-1
0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0015,0.0004,0.0021,0.0017,-1,0.0004,0.0004,0.0006,0.0008,0.0015
0.0004,-1,-1,-1,-1,-1,0.0004,-1,-1,0.0004
0.0004,-1,-1,-1,-1,0.0008,-1,-1,-1,0.0009
0.0004,-1,-1,-1,-1,-1,-1,-1,-1,0.0011
0.0004,-1,-1,-1,-1,-1,-1,0.0008,-1,-1
0.0006,-1,0.0033,0.003,0.002,0.0013,0.0024,0.002,0.0064,0.0041
0.0004,-1,-1,-1,-1,-1,0.0007,0.0006,0.0006,-1
0.0004,-1,-1,0.0004,-1,-1,-1,-1,-1,-1
0.0006,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0006,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0004,0.0005,-1,-1,-1,-1,-1,-1,-1,0.0009
0.0004,-1,0.0008,-1,0.0004,0.0004,0.0004,0.0004,-1,-1
0.0004,-1,-1,-1,-1,-1,0.0009,-1,0.0008,-1
0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0008,0.0034,-1,0.0004,0.001,-1,0.0033,-1,-1,0.0024
0.0008,0.0004,-1,0.0004,0.0004,0.0019,0.0004,0.0011,-1,0.0009
0.0004,-1,-1,-1,0.0004,0.001,0.0004,-1,0.001,0.0004
0.0006,-1,-1,-1,-1,-1,-1,-1,0.0004,-1
0.0004,-1,0.0004,-1,-1,-1,-1,-1,-1,-1
0.0004,0.0004,0.0004,-1,0.0004,-1,-1,-1,0.0004,-1
0.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0004,-1,-1,0.0006,-1,-1,-1,-1,-1,0.0004
0.0004,-1,-1,-1,-1,-1,0.0011,-1,-1,-1
0.0004,-1,0.0004,-1,0.0004,-1,-1,-1,-1,0.0004
0.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0004,-1,-1,0.0009,-1,0.0017,0.0004,-1,0.0008,-1
0.0008,0.0004,0.0016,0.0009,-1,0.0017,0.0009,0.0013,0.0004,0.0039
0.0006,-1,0.0004,0.0004,-1,-1,-1,0.0011,-1,-1
0.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0004,0.0006,-1,0.0009,-1,-1,-1,-1,-1,-1
